"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Eric Gordon",0.565,1.8,2,1,0.4,11,10.8,16.5,2.5,-1.7,0.1,"SG",35.4,"$3,276,360.00"
"Evan Fournier",0.432,1.8,1.5,0.9,0.2,6.9,8.5,19,-0.1,-4.3,-0.3,"SG",31.6,"$18,250,000.00"
"Garrett Temple",0.449,1.7,1,0.4,0.1,3.3,9.5,15,0.2,-4.7,-0.2,"SG",38.1,"$3,196,448.00"
"Garrison Mathews",0.644,1.4,0.6,0.3,0.1,4.9,8.9,11.1,1.6,-3,-0.2,"SG",27.6,"$2,057,563.00"
"Gary Harris",0.569,1.7,1.6,0.9,0.3,6.9,9.4,11.7,2.7,-1.2,0.3,"SG",29.7,"$13,000,000.00"
"Gary Payton II",0.617,2.6,1.1,0.9,0.4,5.5,13.9,13.6,1.8,0.9,0.5,"PG",31.5,"$8,715,000.00"
"Gary Trent Jr.",0.531,2.6,1.7,1.1,0.1,13.7,12,20,1.7,-2.6,-0.3,"SG",25.3,"$17,280,000.00"
"Goga Bitadze",0.608,4.6,1.3,0.5,1.2,5,17.8,13.3,3.7,2.1,1,"C",24.8,"$1,339,383.00"
"Gordon Hayward",0.51,3.5,3.1,0.8,0.3,9.8,12.8,18.4,1.5,-2.1,0,"SF",34.2,"$30,000,000.00"
"Greg Brown III",0.5,1.5,0.7,0,0.7,2.5,10.5,20.3,0,-4.4,0,"PF",22.8,"$0.00"
"Harry Giles",0.49,1.3,0.3,0.1,0.1,2.4,14.8,26.7,0.1,-4.8,-0.1,"C",26.1,"$0.00"
"Haywood Highsmith",0.581,3.2,1.1,0.8,0.5,6.1,11.1,12.4,3.1,-0.7,0.5,"F",27.5,"$1,315,247.00"
"Henri Drell",0.5,1,1,0.5,0.3,2.8,10.7,18.8,0,-4.9,0,"SF",24.1,"$0.00"
"Ibou Badji",0.636,2.3,0.6,0.1,0.9,1.5,8.1,8,0.2,-5.8,-0.2,"C",21.6,"$0.00"
"Immanuel Quickley",0.53,3.8,4.9,0.7,0.1,17,16.7,23.8,4.7,1.3,1.7,"PG",24.9,"$2,700,987.00"
"Isaac Okoro",0.577,3,1.9,0.8,0.5,9.4,11.4,13.9,4.2,-1.1,0.4,"SG",23.3,"$7,270,829.00"
"Isaiah Hartenstein",0.645,8.3,2.5,1.2,1.1,7.8,18.9,12,8.1,3.5,2.6,"C",26.1,"$8,000,000.00"
"Isaiah Joe",0.609,2.3,1.3,0.6,0.3,8.2,13.4,16.6,3.5,0.9,1,"SG",24.9,"$1,999,440.00"
"Isaiah Mobley",0.479,1,0.6,0.2,0,2.3,8.1,16.2,0,-6.6,-0.1,"PF",23.7,"$0.00"
"Isaiah Thomas",0.4,0,0.5,0,0,1.3,6.7,22.8,0,-6.9,0,"PG",35.3,"$18,370.00"
"Isaiah Wong",0.333,0,0,0,0,2,-1.1,31.4,0,-19,0,"PG",23.3,"$0.00"
"Ish Wainright",0.438,1.3,0.1,0.4,0.1,2.1,8.9,18.5,0,-2.4,0,"SF",29.8,"$0.00"
"Jacob Gilyard",0.57,1.1,3.3,0.8,0.1,4.2,11.1,11.1,1.4,-1.4,0.1,"PG",25.8,"$0.00"
"Jacob Toppin",0.611,0.8,0.3,0,0.1,1.4,14.3,12.4,0.1,-0.7,0,"SF",24.1,"$6,434.00"
